City,State,State ID
Akeley,Minnesota,MN
Akers,Louisiana,LA
Akiachak,Alaska,AK
Akiak,Alaska,AK
Akron,New York,NY
Akutan,Alaska,AK
Alabaster,Alabama,AL
Alachua,Florida,FL
Aladdin,Wyoming,WY
Alakanuk,Alaska,AK
Alamance,North Carolina,NC
Alameda,California,CA
Alamo,Georgia,GA
Alamogordo,New Mexico,NM
Alamosa,Colorado,CO
Alanreed,Texas,TX
Alanson,Michigan,MI
Alapaha,Georgia,GA
Alba,Pennsylvania,PA
Albany,Vermont,VT
Albemarle,North Carolina,NC
Albers,Illinois,IL
Albert,Kansas,KS
Albert City,Iowa,IA
Albert Lea,Minnesota,MN
Alberta,Virginia,VA
Alberton,Montana,MT
Albertson,New York,NY
Albertville,Alabama,AL
Albia,Iowa,IA
Albin,Wyoming,WY
Albion,Rhode Island,RI
Alborn,Minnesota,MN
Albright,West Virginia,WV
Albrightsville,Pennsylvania,PA
Albuquerque,New Mexico,NM
Alburgh,Vermont,VT
Alburnett,Iowa,IA
Alburtis,Pennsylvania,PA
Alcalde,New Mexico,NM
Alcester,South Dakota,SD
Alcoa,Tennessee,TN
Alcolu,South Carolina,SC
Alcova,Wyoming,WY
Alcove,New York,NY
Alda,Nebraska,NE
Alden,New York,NY
Alder,Montana,MT
Alder Creek,New York,NY
Alderpoint,California,CA
Alderson,West Virginia,WV
Aldie,Virginia,VA
Aldrich,Minnesota,MN
Aledo,Texas,TX
Aleknagik,Alaska,AK
Aleppo,Pennsylvania,PA
Alex,Oklahoma,OK
Alexander,Arkansas,AR
Alexander City,Alabama,AL
Alexandria,Kentucky,KY
Alexandria Bay,New York,NY
Alexis,North Carolina,NC
Alford,Florida,FL
Alfred,Maine,ME
Alfred Station,New York,NY
Alger,Ohio,OH
Algodones,New Mexico,NM
Algoma,Mississippi,MS
Algona,Iowa,IA
Algonac,Michigan,MI
Algonquin,Illinois,IL
Alhambra,Illinois,IL
Alice,Texas,TX
Aliceville,Alabama,AL
Alicia,Arkansas,AR
Alief,Texas,TX
Aline,Oklahoma,OK
Aliquippa,Pennsylvania,PA
Aliso Viejo,California,CA
Alix,Arkansas,AR
Alkol,West Virginia,WV
Allakaket,Alaska,AK
Allamuchy,New Jersey,NJ
Allardt,Tennessee,TN
Alledonia,Ohio,OH
Alleene,Arkansas,AR
Allegan,Michigan,MI
Allegany,New York,NY
Alleghany,California,CA
Alleman,Iowa,IA
Allen,Maryland,MD
Allen Junction,West Virginia,WV
Allen Park,Michigan,MI
Allendale,New Jersey,NJ
Allenhurst,New Jersey,NJ
Allenport,Pennsylvania,PA
Allenspark,Colorado,CO
Allensville,Pennsylvania,PA
Allenton,Michigan,MI
Allentown,New Jersey,NJ
Allenwood,New Jersey,NJ
Allerton,Iowa,IA
Alleyton,Texas,TX
Allgood,Alabama,AL
Alliance,North Carolina,NC
Alligator,Mississippi,MS
Allison,Pennsylvania,PA
Allison Park,Pennsylvania,PA
Allons,Tennessee,TN
Allouez,Michigan,MI
Alloway,New Jersey,NJ
Alloy,West Virginia,WV
Allport,Pennsylvania,PA
Allred,Tennessee,TN
Allston,Massachusetts,MA
Allyn,Washington,WA
Alma,New York,NY
Alma Center,Wisconsin,WI
Almena,Wisconsin,WI
Almira,Washington,WA
Almo,Kentucky,KY
Almond,New York,NY
Almont,Michigan,MI
Almyra,Arkansas,AR
Alna,Maine,ME
Alpaugh,California,CA
Alpena,Michigan,MI
Alpha,Kentucky,KY
Alpharetta,Georgia,GA
Alpine,California,CA
Alplaus,New York,NY
Alsea,Oregon,OR
Alsen,North Dakota,ND
Alsey,Illinois,IL
Alsip,Illinois,IL
Alstead,New Hampshire,NH
Alston,Georgia,GA
Alta,Iowa,IA
Alta Vista,Iowa,IA
Altadena,California,CA
Altair,Texas,TX
Altamahaw,North Carolina,NC
Altamont,New York,NY
Altamonte Springs,Florida,FL
Altaville,California,CA
Altavista,Virginia,VA
Altenburg,Missouri,MO
Altha,Florida,FL
Altheimer,Arkansas,AR
Altmar,New York,NY
Alto,Georgia,GA
Alto Pass,Illinois,IL
Alton,New Hampshire,NH
Alton Bay,New Hampshire,NH
Altona,New York,NY
Altonah,Utah,UT
Altoona,Pennsylvania,PA
Altura,Minnesota,MN
Alturas,Florida,FL
Altus,Arkansas,AR
Altus Afb,Oklahoma,OK
Alum Bank,Pennsylvania,PA
Alum Bridge,West Virginia,WV
Alum Creek,West Virginia,WV
Alva,Florida,FL
Alvada,Ohio,OH
Alvadore,Oregon,OR
Alvarado,Minnesota,MN
Alvaton,Kentucky,KY
Alverda,Pennsylvania,PA
Alverton,Pennsylvania,PA
Alvin,Illinois,IL
Alviso,California,CA
Alvo,Nebraska,NE
Alvord,Iowa,IA
Alvordton,Ohio,OH
Alzada,Montana,MT
Ama,Louisiana,LA
Amado,Arizona,AZ
Amador City,California,CA
Amagansett,New York,NY
Amagon,Arkansas,AR
Amalia,New Mexico,NM
Amana,Iowa,IA
Amanda,Ohio,OH
Amanda Park,Washington,WA
Amargosa Valley,Nevada,NV
Amarillo,Texas,TX
Amasa,Michigan,MI
Amawalk,New York,NY
Amazonia,Missouri,MO
Amber,Oklahoma,OK
Amberg,Wisconsin,WI
Amberson,Pennsylvania,PA
Ambia,Indiana,IN
Ambler,Pennsylvania,PA
Amboy,Indiana,IN
Ambridge,Pennsylvania,PA
Ambrose,Georgia,GA
Amelia,Ohio,OH
Amelia Court House,Virginia,VA
Amenia,New York,NY
American Canyon,California,CA
American Falls,Idaho,ID
American Fork,Utah,UT
Americus,Georgia,GA
Amery,Wisconsin,WI
Ames,Iowa,IA
Amesbury,Massachusetts,MA
Amesville,Ohio,OH
Amherst,Massachusetts,MA
Amherst Junction,Wisconsin,WI
Amherstdale,West Virginia,WV
Amidon,North Dakota,ND
Amigo,West Virginia,WV
Amissville,Virginia,VA
Amistad,New Mexico,NM
Amite,Louisiana,LA
Amity,Pennsylvania,PA
Amityville,New York,NY
Amlin,Ohio,OH
Amma,West Virginia,WV
Ammon,Virginia,VA
Amo,Indiana,IN
Amonate,Virginia,VA
Amoret,Missouri,MO
Amorita,Oklahoma,OK
Amory,Mississippi,MS
Amsterdam,New York,NY
Amston,Connecticut,CT
Anabel,Missouri,MO
Anacoco,Louisiana,LA
Anaconda,Montana,MT
Anacortes,Washington,WA
Anadarko,Oklahoma,OK
Anaheim,California,CA
Anahola,Hawaii,HI
Anahuac,Texas,TX
Anaktuvuk Pass,Alaska,AK
Analomink,Pennsylvania,PA
Anamoose,North Dakota,ND
Anamosa,Iowa,IA
Anasco,Puerto Rico,PR
Anatone,Washington,WA
Anawalt,West Virginia,WV
Anchor,Illinois,IL
Anchor Point,Alaska,AK
Anchorage,Alaska,AK
Anchorville,Michigan,MI
Ancona,Illinois,IL
Ancram,New York,NY
Ancramdale,New York,NY
Andale,Kansas,KS
Andalusia,Alabama,AL
Anderson,South Carolina,SC
Anderson Island,Washington,WA
Andersonville,Georgia,GA
Andes,New York,NY
Andover,New Hampshire,NH
Andreas,Pennsylvania,PA
Andrew,Iowa,IA
Andrews,North Carolina,NC
Andrews Air Force Base,Maryland,MD
Aneta,North Dakota,ND
Aneth,Utah,UT
Angel Fire,New Mexico,NM
Angela,Montana,MT
Angeles,Puerto Rico,PR
Angelica,New York,NY
Angels Camp,California,CA
Angelus Oaks,California,CA
Angie,Louisiana,LA
Angier,North Carolina,NC
Angle Inlet,Minnesota,MN
Angleton,Texas,TX
Angola,New York,NY
Angoon,Alaska,AK
Angora,Minnesota,MN
Anguilla,Mississippi,MS
Angwin,California,CA
Aniak,Alaska,AK
Animas,New Mexico,NM
Anita,Pennsylvania,PA
Aniwa,Wisconsin,WI
Ankeny,Iowa,IA
Anmoore,West Virginia,WV
Ann Arbor,Michigan,MI
Anna,Texas,TX
Anna Maria,Florida,FL
Annabella,Utah,UT
Annada,Missouri,MO
Annandale,New Jersey,NJ
Annandale On Hudson,New York,NY
Annapolis,Maryland,MD
Annapolis Junction,Maryland,MD
Annawan,Illinois,IL
Anniston,Alabama,AL
Annona,Texas,TX
Annville,Pennsylvania,PA
Anoka,Minnesota,MN
Anselmo,Nebraska,NE
Ansley,Nebraska,NE
Anson,Maine,ME
Ansonia,Ohio,OH
Ansonville,North Carolina,NC
Ansted,West Virginia,WV
Antelope,Montana,MT
Antes Fort,Pennsylvania,PA
Anthon,Iowa,IA
Anthony,Florida,FL
Antigo,Wisconsin,WI
Antimony,Utah,UT
Antioch,Illinois,IL
Antler,North Dakota,ND
Antlers,Oklahoma,OK
Antoine,Arkansas,AR
Anton,Texas,TX
Anton Chico,New Mexico,NM
Antonito,Colorado,CO
Antrim,New Hampshire,NH
Antwerp,New York,NY
Anvik,Alaska,AK
Anza,California,CA
Apache,Oklahoma,OK
Apache Junction,Arizona,AZ
Apalachicola,Florida,FL
Apalachin,New York,NY
Apex,North Carolina,NC
Apison,Tennessee,TN
Aplington,Iowa,IA
Apollo,Pennsylvania,PA
Apollo Beach,Florida,FL
Apopka,Florida,FL
Appalachia,Virginia,VA
Apple Creek,Ohio,OH
Apple Grove,West Virginia,WV
Apple River,Illinois,IL
Apple Springs,Texas,TX
Apple Valley,California,CA
Applegate,Michigan,MI
Appleton,Wisconsin,WI
Appleton City,Missouri,MO
Appling,Georgia,GA
Appomattox,Virginia,VA
Aptos,California,CA
Apulia Station,New York,NY
Aquasco,Maryland,MD
Aquashicola,Pennsylvania,PA
Aquebogue,New York,NY
Aquilla,Texas,TX
Arab,Alabama,AL
Arabi,Georgia,GA
Aragon,Georgia,GA
Aransas Pass,Texas,TX
Arapaho,Oklahoma,OK
Arapahoe,North Carolina,NC
Ararat,Virginia,VA
Arbela,Missouri,MO
Arboles,Colorado,CO
Arbon,Idaho,ID
Arbovale,West Virginia,WV
Arbuckle,California,CA
Arbyrd,Missouri,MO
Arcade,New York,NY
Arcadia,Pennsylvania,PA
Arcanum,Ohio,OH
Arcata,California,CA
Arch Cape,Oregon,OR
Archbald,Pennsylvania,PA
Archbold,Ohio,OH
Archer,Florida,FL
Archer City,Texas,TX
Archibald,Louisiana,LA
Archie,Missouri,MO
Arco,Minnesota,MN
Arcola,Mississippi,MS
Arctic Village,Alaska,AK
Ardara,Pennsylvania,PA
Arden,New York,NY
Ardenvoir,Washington,WA
Ardmore,Alabama,AL
Ardsley,New York,NY
Ardsley On Hudson,New York,NY
Arecibo,Puerto Rico,PR
Aredale,Iowa,IA
Arena,Wisconsin,WI
Arenas Valley,New Mexico,NM
Arendtsville,Pennsylvania,PA
Arenzville,Illinois,IL
Argenta,Illinois,IL
Argillite,Kentucky,KY
Argonia,Kansas,KS
Argonne,Wisconsin,WI
Argos,Indiana,IN
Argusville,North Dakota,ND
Argyle,New York,NY
Ariel,Washington,WA
Arimo,Idaho,ID
Arion,Iowa,IA
Aripeka,Florida,FL
Arispe,Iowa,IA
Aristes,Pennsylvania,PA
Ariton,Alabama,AL
Arivaca,Arizona,AZ
Arizona City,Arizona,AZ
Arjay,Kentucky,KY
Ark,Virginia,VA
Arkabutla,Mississippi,MS
Arkadelphia,Arkansas,AR
Arkansas City,Kansas,KS
Arkansaw,Wisconsin,WI
Arkdale,Wisconsin,WI
Arkoma,Oklahoma,OK
Arkport,New York,NY
Arkville,New York,NY
Arlee,Montana,MT
Arley,Alabama,AL
Arlington,Washington,WA
Arlington Heights,Massachusetts,MA
Arma,Kansas,KS
Armada,Michigan,MI
Armagh,Pennsylvania,PA
Armbrust,Pennsylvania,PA
Armington,Illinois,IL
Arminto,Wyoming,WY
Armona,California,CA
Armonk,New York,NY
Armorel,Arkansas,AR
Armour,South Dakota,SD
Armstrong,Iowa,IA
Armstrong Creek,Wisconsin,WI
Armuchee,Georgia,GA
Arnaudville,Louisiana,LA
Arnegard,North Dakota,ND
Arnett,West Virginia,WV
Arnold,Michigan,MI
Arnold Afb,Tennessee,TN
Arnolds Park,Iowa,IA
Arnoldsburg,West Virginia,WV
Arnoldsville,Georgia,GA
Arnot,Pennsylvania,PA
Arock,Oregon,OR
Aroda,Virginia,VA
Aroma Park,Illinois,IL
Aromas,California,CA
Arona,Pennsylvania,PA
Arp,Texas,TX
Arpin,Wisconsin,WI
Arrey,New Mexico,NM
Arriba,Colorado,CO
Arrington,Virginia,VA
Arrow Rock,Missouri,MO
Arrowsmith,Illinois,IL
Arroyo,Puerto Rico,PR
Arroyo Grande,California,CA
Arroyo Hondo,New Mexico,NM
Arroyo Seco,New Mexico,NM
Art,Texas,TX
Artemas,Pennsylvania,PA
Artemus,Kentucky,KY
Artesia,Mississippi,MS
Artesia Wells,Texas,TX
Artesian,South Dakota,SD
Arthur,Tennessee,TN
Arthur City,Texas,TX
Arthurdale,West Virginia,WV
Artie,West Virginia,WV
Artois,California,CA
Arvada,Colorado,CO
Arverne,New York,NY
Arvilla,North Dakota,ND
Arvin,California,CA
Arvonia,Virginia,VA
Ary,Kentucky,KY
Asbury,New Jersey,NJ
Asbury Park,New Jersey,NJ
Ascutney,Vermont,VT
Ash,North Carolina,NC
Ash Flat,Arkansas,AR
Ash Fork,Arizona,AZ
Ash Grove,Missouri,MO
Ashaway,Rhode Island,RI
Ashburn,Virginia,VA
Ashburnham,Massachusetts,MA
Ashby,Massachusetts,MA
Ashcamp,Kentucky,KY
Ashdown,Arkansas,AR
Asheboro,North Carolina,NC
Asher,Kentucky,KY
Asherton,Texas,TX
Asheville,North Carolina,NC
Ashfield,Massachusetts,MA
Ashford,Connecticut,CT
Ashippun,Wisconsin,WI
Ashkum,Illinois,IL
Ashland,New Hampshire,NH
Ashland City,Tennessee,TN
Ashley,Ohio,OH
Ashley Falls,Massachusetts,MA
Ashmore,Illinois,IL
Ashtabula,Ohio,OH
Ashton,Maryland,MD
Ashuelot,New Hampshire,NH
Ashville,New York,NY
Ashwood,Oregon,OR
Askov,Minnesota,MN
Asotin,Washington,WA
Aspen,Colorado,CO
Aspermont,Texas,TX
Aspers,Pennsylvania,PA
Aspinwall,Iowa,IA
Assaria,Kansas,KS
Assawoman,Virginia,VA
Assonet,Massachusetts,MA
Assumption,Illinois,IL
Astatula,Florida,FL
Aston,Pennsylvania,PA
Astor,Florida,FL
Astoria,New York,NY
Atalissa,Iowa,IA
Atascadero,California,CA
Atascosa,Texas,TX
Atchison,Kansas,KS
Atco,New Jersey,NJ
Atglen,Pennsylvania,PA
Athelstane,Wisconsin,WI
Athena,Oregon,OR
Athens,Maine,ME
Atherton,California,CA
Athol,Massachusetts,MA
Athol Springs,New York,NY
Atka,Alaska,AK
Atkins,Virginia,VA
Atkinson,New Hampshire,NH
Atlanta,New York,NY
Atlantic,Pennsylvania,PA
Atlantic Beach,New York,NY
Atlantic City,New Jersey,NJ
Atlantic Highlands,New Jersey,NJ
Atlantic Mine,Michigan,MI
Atlas,Michigan,MI
Atlasburg,Pennsylvania,PA
Atmore,Alabama,AL
Atoka,Tennessee,TN
Atomic City,Idaho,ID
Atqasuk,Alaska,AK
Attalla,Alabama,AL
Attapulgus,Georgia,GA
Attica,New York,NY
Attleboro,Massachusetts,MA
Attleboro Falls,Massachusetts,MA
Atwater,Ohio,OH
Atwood,Tennessee,TN
Au Gres,Michigan,MI
Au Sable Forks,New York,NY
Au Train,Michigan,MI
Auberry,California,CA
Aubrey,Texas,TX
Auburn,New Hampshire,NH
Auburn Hills,Michigan,MI
Auburn University,Alabama,AL
Auburndale,Massachusetts,MA
Auburntown,Tennessee,TN
Audubon,New Jersey,NJ
Augusta,Maine,ME
Augusta Springs,Virginia,VA
Auke Bay,Alaska,AK
Aulander,North Carolina,NC
Ault,Colorado,CO
Aultman,Pennsylvania,PA
Aumsville,Oregon,OR
Aurelia,Iowa,IA
Auriesville,New York,NY
Aurora,Maine,ME
Austell,Georgia,GA
Austerlitz,New York,NY
Austin,Arkansas,AR
Austinburg,Ohio,OH
Austinville,Virginia,VA
Austwell,Texas,TX
Autaugaville,Alabama,AL
Autryville,North Carolina,NC
Auxier,Kentucky,KY
Auxvasse,Missouri,MO
Ava,New York,NY
Avalon,New Jersey,NJ
Avant,Oklahoma,OK
Avawam,Kentucky,KY
Avella,Pennsylvania,PA
Avenal,California,CA
Avenel,New Jersey,NJ
Avenue,Maryland,MD
Avera,Georgia,GA
Averill,Vermont,VT
Averill Park,New York,NY
Avery,Texas,TX
Avery Island,Louisiana,LA
Avila Beach,California,CA
Avilla,Indiana,IN
Avinger,Texas,TX
Avis,Pennsylvania,PA
Aviston,Illinois,IL
Avoca,New York,NY
Avon,Massachusetts,MA
Avon By The Sea,New Jersey,NJ
Avon Lake,Ohio,OH
Avon Park,Florida,FL
Avondale,West Virginia,WV
Avondale Estates,Georgia,GA
Avonmore,Pennsylvania,PA
Awendaw,South Carolina,SC
Axis,Alabama,AL
Axson,Georgia,GA
Axtell,Kansas,KS
Axton,Virginia,VA
Ayden,North Carolina,NC
Aydlett,North Carolina,NC
Ayer,Massachusetts,MA
Aylett,Virginia,VA
Aynor,South Carolina,SC
Ayr,North Dakota,ND
Ayrshire,Iowa,IA
Azalea,Oregon,OR
Azalia,Michigan,MI
Azle,Texas,TX
Aztec,New Mexico,NM
Azusa,California,CA
Babb,Montana,MT
Babbitt,Minnesota,MN
Babcock,Wisconsin,WI
Babson Park,Massachusetts,MA
Babylon,New York,NY
Backus,Minnesota,MN
Bacliff,Texas,TX
Baconton,Georgia,GA
Bacova,Virginia,VA
Bad Axe,Michigan,MI
Baden,Pennsylvania,PA
Badger,Iowa,IA
Badin,North Carolina,NC
Bagdad,Florida,FL
Baggs,Wyoming,WY
Bagley,Iowa,IA
Bagwell,Texas,TX
Bahama,North Carolina,NC
Bailey,North Carolina,NC
Bailey Island,Maine,ME
Baileys Harbor,Wisconsin,WI
Baileyton,Alabama,AL
Baileyville,Maine,ME
Bainbridge,New York,NY
Bainbridge Island,Washington,WA
Bainville,Montana,MT
Baird,Texas,TX
Bairdford,Pennsylvania,PA
Bairoil,Wyoming,WY
Baisden,West Virginia,WV
Bajadero,Puerto Rico,PR
Baker,West Virginia,WV
Baker City,Oregon,OR
Bakers Mills,New York,NY
Bakersfield,Vermont,VT
Bakerstown,Pennsylvania,PA
Bakersville,North Carolina,NC
Bakerton,West Virginia,WV
Bakewell,Tennessee,TN
Bala Cynwyd,Pennsylvania,PA
Balaton,Minnesota,MN
Balch Springs,Texas,TX
Bald Knob,Arkansas,AR
Baldwin,Maryland,MD
Baldwin City,Kansas,KS
Baldwin Park,California,CA
Baldwin Place,New York,NY
Baldwinsville,New York,NY
Baldwinville,Massachusetts,MA
Baldwyn,Mississippi,MS
Balfour,North Dakota,ND
Balko,Oklahoma,OK
Ball,Louisiana,LA
Ball Ground,Georgia,GA
Ballantine,Montana,MT
Ballard,West Virginia,WV
Ballentine,South Carolina,SC
Ballico,California,CA
Ballinger,Texas,TX
Ballouville,Connecticut,CT
Ballston Lake,New York,NY
Ballston Spa,New York,NY
Ballwin,Missouri,MO
Bally,Pennsylvania,PA
Balm,Florida,FL
Balmorhea,Texas,TX
Balsam,North Carolina,NC
Balsam Grove,North Carolina,NC
Balsam Lake,Wisconsin,WI
Balta,North Dakota,ND
Baltic,Connecticut,CT
Baltimore,Maryland,MD
Bamberg,South Carolina,SC
Banco,Virginia,VA
Bancroft,West Virginia,WV
Bandana,Kentucky,KY
Bandera,Texas,TX
Bandon,Oregon,OR
Bandy,Virginia,VA
Bangall,New York,NY
Bangor,Maine,ME
Bangs,Texas,TX
Banks,Alabama,AL
Bankston,Alabama,AL
Banner,Kentucky,KY
Banner Elk,North Carolina,NC
Banning,California,CA
Bannister,Michigan,MI
Bannock,Ohio,OH
Banquete,Texas,TX
Bantam,Connecticut,CT
Bantry,North Dakota,ND
Bapchule,Arizona,AZ
Baptistown,New Jersey,NJ
Bar Harbor,Maine,ME
Bar Mills,Maine,ME
Baraboo,Wisconsin,WI
Baraga,Michigan,MI
Barataria,Louisiana,LA
Barbeau,Michigan,MI
Barberton,Ohio,OH
Barberville,Florida,FL
Barboursville,Virginia,VA
Barbourville,Kentucky,KY
Barceloneta,Puerto Rico,PR
Barclay,Maryland,MD
Barco,North Carolina,NC
Bard,New Mexico,NM
Bardolph,Illinois,IL
Bardstown,Kentucky,KY
Bardwell,Kentucky,KY
Bargersville,Indiana,IN
Barhamsville,Virginia,VA
Baring,Missouri,MO
Barium Springs,North Carolina,NC
Bark River,Michigan,MI
Barker,New York,NY
Barkhamsted,Connecticut,CT
Barksdale,Texas,TX
Barksdale Afb,Louisiana,LA
Barling,Arkansas,AR
Barlow,Kentucky,KY
Barnard,Vermont,VT
Barnardsville,North Carolina,NC
Barnegat,New Jersey,NJ
Barnegat Light,New Jersey,NJ
Barnes,Kansas,KS
Barnes City,Iowa,IA
Barneston,Nebraska,NE
Barnesville,Pennsylvania,PA
Barnet,Vermont,VT
Barnett,Missouri,MO
Barneveld,New York,NY
Barney,Georgia,GA
Barnhart,Missouri,MO
Barnhill,Illinois,IL
Barnsdall,Oklahoma,OK
Barnstable,Massachusetts,MA
Barnstead,New Hampshire,NH
Barnum,Iowa,IA
Barnwell,South Carolina,SC
Baroda,Michigan,MI
Barrackville,West Virginia,WV
Barranquitas,Puerto Rico,PR
Barre,Massachusetts,MA
Barren Springs,Virginia,VA
Barrett,Minnesota,MN
Barrigada,Guam,GU
Barrington,New Hampshire,NH
Barron,Wisconsin,WI
Barronett,Wisconsin,WI
Barrow,Alaska,AK
Barry,Minnesota,MN
Barryton,Michigan,MI
Barrytown,New York,NY
Barryville,New York,NY
Barstow,Maryland,MD
Bart,Pennsylvania,PA
Bartelso,Illinois,IL
Bartlesville,Oklahoma,OK
Bartlett,New Hampshire,NH
Bartley,West Virginia,WV
Barto,Pennsylvania,PA
Barton,Vermont,VT
Barton City,Michigan,MI
Bartonsville,Pennsylvania,PA
Bartow,West Virginia,WV
Barwick,Georgia,GA
Basalt,Colorado,CO
Basco,Illinois,IL
Bascom,Florida,FL
Basehor,Kansas,KS
Basile,Louisiana,LA
Basin,Montana,MT
Baskerville,Virginia,VA
Baskett,Kentucky,KY
Baskin,Louisiana,LA
Basking Ridge,New Jersey,NJ
Basom,New York,NY
Bass Harbor,Maine,ME
Bass Lake,California,CA
Bassett,Virginia,VA
Bassfield,Mississippi,MS
Bastian,Virginia,VA
Bastrop,Texas,TX
Basye,Virginia,VA
Bat Cave,North Carolina,NC
Batavia,New York,NY
Batchelor,Louisiana,LA
Batchtown,Illinois,IL
Bates,Oregon,OR
Bates City,Missouri,MO
Batesburg,South Carolina,SC
Batesland,South Dakota,SD
Batesville,Virginia,VA
Bath,New Hampshire,NH
Bath Springs,Tennessee,TN
Bathgate,North Dakota,ND
Baton Rouge,Louisiana,LA
Batson,Texas,TX
Battery Park,Virginia,VA
Battiest,Oklahoma,OK
Battle Creek,Michigan,MI
Battle Ground,Washington,WA
Battle Lake,Minnesota,MN
Battle Mountain,Nevada,NV
Battleboro,North Carolina,NC
Battlement Mesa,Colorado,CO
Battletown,Kentucky,KY
Baudette,Minnesota,MN
Bausman,Pennsylvania,PA
Bauxite,Arkansas,AR
Baxley,Georgia,GA
Baxter,West Virginia,WV
Baxter Springs,Kansas,KS
Bay,Arkansas,AR
Bay Center,Washington,WA
Bay City,Michigan,MI
Bay Minette,Alabama,AL
Bay Pines,Florida,FL
Bay Port,Michigan,MI
Bay Saint Louis,Mississippi,MS
Bay Shore,New York,NY
Bay Springs,Mississippi,MS
Bay Village,Ohio,OH
Bayamon,Puerto Rico,PR
Bayard,West Virginia,WV
Bayboro,North Carolina,NC
Bayfield,Wisconsin,WI
Baylis,Illinois,IL
Bayonne,New Jersey,NJ
Bayou La Batre,Alabama,AL
Bayport,New York,NY
Bays,Kentucky,KY
Bayside,Texas,TX
Baytown,Texas,TX
Bayview,Idaho,ID
Bayville,New York,NY
Bazine,Kansas,KS
Beach,North Dakota,ND
Beach City,Ohio,OH
Beach Haven,New Jersey,NJ
Beach Lake,Pennsylvania,PA
Beachwood,Ohio,OH
Beacon,New York,NY
Beacon Falls,Connecticut,CT
Beale Afb,California,CA
Bealeton,Virginia,VA
Beallsville,Pennsylvania,PA
Beals,Maine,ME
Bealsville,Maryland,MD
Beaman,Iowa,IA
Bean Station,Tennessee,TN
Bear,Delaware,DE
Bear Branch,Kentucky,KY
Bear Creek,Pennsylvania,PA
Bear Lake,Pennsylvania,PA
Bear Mountain,New York,NY
Bear River City,Utah,UT
Bearcreek,Montana,MT
Bearden,Arkansas,AR
Beardsley,Minnesota,MN
Beardstown,Illinois,IL
Bearsville,New York,NY
Beasley,Texas,TX
Beason,Illinois,IL
Beatrice,Alabama,AL
Beattie,Kansas,KS
